Ref;Quantity;Manufacturer;Manufacturer Part Number;Description;Vendor;Vendor Part Number;Link;Cost Each (EUR);Ext Price (EUR)
B1;1;Keystone;2464;BATTERY HOLDER AA 3 CELL PC PIN;Digikey;36-2464-ND;https://www.digikey.de/en/products/detail/keystone-electronics/2464/303813;1,79000 €;1,79 €
C1;1;Kemet;C320C104M5R5TA7303;CAP CER 0.1UF 50V X7R RADIAL;Digikey;399-C320C104M5R5TA7303CT-ND;https://www.digikey.de/en/products/detail/kemet/C320C104M5R5TA7303/12701276;0,27000 €;0,27 €
C2;1;Panasonic;ECE-A0JKA331Q;CAP ALUM 330UF 20% 6.3V RADIAL;Digikey;10-ECE-A0JKA331QTB-ND;https://www.digikey.de/en/products/detail/panasonic-electronic-components/ECE-A0JKA331Q/2689008;0,42000 €;0,42 €
LED1, LED2;2;Everlight;IR333C/H0/L10/TR1-7(R);IR EMITTER - THRU-HOLE;Digikey;1080-IR333C/H0/L10/TR1-7(R)CT-ND;https://www.digikey.de/en/products/detail/everlight-electronics-co-ltd/IR333C-H0-L10-TR1-7-R/12177240;0,20000 €;0,40 €
LED3, LED4;2;Everlight;IR333-A;EMITTER IR 940NM 100MA RADIAL;Digikey;1080-1080-ND;https://www.digikey.de/en/products/detail/everlight-electronics-co-ltd/IR333-A/2675571;0,37000 €;0,74 €
MOD1;1;Shop1102186190 Store;ESP32-C3 Super Mini;ESP32-C3 Super Mini;Aliexpress;Color:  10PCS C3 MINI;https://de.aliexpress.com/item/1005009495310442.html;3,69000 €;3,69 €
Q1 (option 1);1;Doingter;DOU90N02;MOSFET N-Channel, logic-level, 20V, 90A, TO-251;LCSC;C42412131;https://www.lcsc.com/product-detail/C42412131.html;0,47000 €;0,47 €
Q1 (option 2);0;NCE;NCE3080IA;MOSFET N-Channel, logic-level, 30V, 80A, TO-251;LCSC;C326369;https://www.lcsc.com/product-detail/C326369.html;0,26540 €;0,00 €
Q1 (option 3);0;Infineon;IRLU024NPBF;MOSFET N-CH 55V 17A IPAK (TO-251);Digikey;IRLU024NPBF-ND;https://www.digikey.de/en/products/detail/infineon-technologies/IRLU024NPBF/812400;1,30000 €;0,00 €
R1, R2, R3, R4;4;Stackpole;CFM12JT1R00;RESISTOR, 1.0 OHM, 1/2W, 5%;Digikey;S1HCT-ND;https://www.digikey.de/en/products/detail/stackpole-electronics-inc/CFM12JT1R00/1741833;0,08000 €;0,32 €
R5;1;Stackpole;CF14JT56R0;RESISTOR, 56 OHM, 1/4W, 5%;Digikey;CF14JT56R0CT-ND;https://www.digikey.de/en/products/detail/stackpole-electronics-inc/CF14JT56R0/1741465;0,08000 €;0,08 €
R6;1;Stackpole;CF14JT47K0;RESISTOR, 47K, 1/4W, 5%;Digikey;CF14JT47K0CT-ND;https://www.digikey.de/en/products/detail/stackpole-electronics-inc/CF14JT47K0/1741444;0,08000 €;0,08 €
S1;1;Omron;B3F-4005;SWITCH TACTILE SPST-NO 0.05A 24V, YELLOW;Digikey;SW412-ND;https://www.digikey.de/en/products/detail/omron-electronics-inc-emc-div/B3F-4005/20679;0,54000 €;0,54 €
S2;1;Omron;B3F-4000;SWITCH TACTILE SPST-NO 0.05A 24V, IVORY;Digikey;SW411-ND;https://www.digikey.de/en/products/detail/omron-electronics-inc-emc-div/b3f-4000/63961;0,48000 €;0,48 €
S3;1;C&K;OS102011MS2QN1;SWITCH SLIDE SPDT 100MA 12V;Digikey;CKN9565-ND;https://www.digikey.de/en/products/detail/c-k/OS102011MS2QN1/411602;0,68000 €;0,68 €
PCB;1;PCBWay;TV-B-Gone kit V2.0 r1 preliminary;PCB;PCBWay;TV-B-Gone kit V2.0 r2 preliminary;https://member.pcbway.com;1,85000 €;1,85 €
;;;;;;;;;
U1;1;Vishay;TSOP38238;SENSOR REMOTE REC 38.0KHZ 45M;Digikey;751-1227-ND;https://www.digikey.de/en/products/detail/vishay-semiconductor-opto-division/TSOP38238/1681362;0,71000 €;0,71 €
;;;;;;;;;
;;;;;;;;TOTAL:;12,52 €
